Time,CV,MV,MVSP,DV1,DV2,DV3
1,72.14970398,46.46260071,46.45080185,70,24300.75,0.655772448
2,72.14600372,46.46289825,46.44250107,70,24294.80078,0.654438972
3,72.14959717,46.45240021,46.4803009,70,24312.09961,0.654255986
4,72.14489746,46.45560074,46.47320175,70,24301,0.655678988
5,72.146698,46.45909882,46.45700073,70,24339.5,0.65417999
6,72.15709686,46.45830154,46.43239975,70,24314.19922,0.655188024
7,72.15679932,46.46040344,46.43239975,70,24309.34961,0.654545546
8,72.15650177,46.46250153,46.43119812,70,24304.5,0.653903008
9,72.1446991,46.46979904,46.45560074,70,24289.30078,0.65574801
10,72.14710236,46.44530106,46.44150162,70,24320.5,0.65436399
11,72.16619873,46.43870163,46.4015007,70,24335.90039,0.654269993
12,72.15709686,46.43849945,46.42559814,70,24306.69922,0.654193997
13,72.14990234,46.44480133,46.42559814,70,24321.44922,0.654635489
14,72.1427002,46.4510994,46.41540146,70,24336.19922,0.655076981
15,72.14600372,46.44490051,46.44380188,70,24302.80078,0.65526998
16,72.15589905,46.44229889,46.43399811,70,24299.30078,0.655727029
17,72.15390015,46.44599915,46.41109848,70,24321.5,0.654444993
18,72.14589691,46.41790009,46.40309906,70,24344.59961,0.654178977
19,72.1391449,46.42469788,46.40309906,70,24330.09961,0.654341459
20,72.13240051,46.43149948,46.40639877,70,24315.59961,0.654504001
21,72.15119934,46.39590073,46.39319992,70,24340,0.655426979
22,72.15499878,46.43059921,46.40129852,70,24304.09961,0.653617024
23,72.15390015,46.38669968,46.37889862,70,24301.59961,0.654588997
24,72.15029907,46.38949966,46.39289856,70,24309.19922,0.653373003
25,72.15354919,46.39004898,46.39289856,70,24298.30078,0.65427351
26,72.15679932,46.3905983,46.39139938,70,24287.40039,0.655174017
27,72.16190338,46.39440155,46.38010025,70,24337.30078,0.65397799
28,72.14309692,46.39369965,46.40589905,70,24277.30078,0.655593991
29,72.14839935,46.3791008,46.38750076,70,24304.19922,0.655607998
30,72.14659882,46.38270187,46.3885994,70,24301,0.654300988
31,72.14299774,46.38225174,46.3885994,70,24300.55078,0.654284
32,72.13939667,46.38180161,46.38100052,70,24300.09961,0.654267013
33,72.12789917,46.36439896,46.36809921,70,24304.40039,0.654709995
34,72.1339035,46.34970093,46.36669922,70,24286.5,0.654006004
35,72.14720154,46.36209869,46.33850098,70,24318.30078,0.654133976
36,72.12979889,46.36949921,46.39160156,70,24306.59961,0.653393984
37,72.12954712,46.37419891,46.39160156,70,24310.59961,0.653550506
38,72.12930298,46.37889862,46.36660004,70,24314.59961,0.653707027
39,72.11859894,46.38059998,46.34370041,70,24314.80078,0.654316008
40,72.12750244,46.37080002,46.35540009,70,24306.80078,0.653055012
41,72.12290192,46.34609985,46.36569977,70,24316.30078,0.654152989
42,72.13079834,46.36169815,46.33390045,70,24271.40039,0.654043972
43,72.12609863,46.35329819,46.33390045,70,24287.80078,0.653552473
44,72.12139893,46.34489822,46.31090164,70,24304.19922,0.653060973
45,72.11889648,46.35309982,46.35969925,70,24270,0.653151989
46,72.11250305,46.35710144,46.34339905,70,24309,0.652882993
47,72.12460327,46.33720016,46.34059906,70,24285,0.652943015
48,72.10649872,46.33860016,46.34289932,70,24305.5,0.651781023
49,72.10205078,46.32579803,46.34289932,70,24294.09961,0.652117014
50,72.09760284,46.31299973,46.32780075,70,24282.69922,0.652453005
51,72.08840179,46.34349823,46.35770035,70,24335.90039,0.651933014
52,72.0739975,46.34329987,46.33840179,70,24285.69922,0.650134027
53,72.08699799,46.34479904,46.33549881,70,24251.5,0.653261006
54,72.07039642,46.32709885,46.35559845,70,24306.69922,0.652076006
55,72.06199646,46.32309723,46.35559845,70,24272,0.652474523
